Central
0.03451538,-0.3314283,-2.284457,False
0.03828621,-0.3315687,-2.285425,False
0.04415321,-0.2095466,-1.5745,False
0.05251312,-0.2754472,-1.270262,False
0.06366539,-0.2396507,-0.897794,False
0.07479858,-0.252584,-0.3371008,True
0.08593941,-0.1908633,-0.2565227,True
0.09761238,-0.2657957,-0.2839061,True
0.1082211,-0.3079317,-0.2000867,True
0.1193218,-0.2713555,-0.2821199,True
0.1307392,-0.3618904,-0.1720285,True
0.1416168,-0.3618909,-0.1720295,True
0.1525688,-0.295211,0.005357534,True
0.1636562,-0.3477038,-0.03185025,True
0.1747971,-0.2966462,0.008932084,True
0.186224,-0.3343146,-0.02904785,True
0.1969318,-0.3175023,-0.01717621,True
0.2082367,-0.3181607,-0.001054108,True
0.2192516,-0.3222869,-0.01001558,True
0.2303467,-0.3136494,-0.01558787,True
0.241415,-0.3144737,-0.03920391,True
0.252636,-0.3239401,-0.05678734,True
0.263567,-0.3286141,-0.06380016,True
0.2747078,-0.3386269,-0.09421042,True
0.2862053,-0.3457804,-0.116817,True
0.2968788,-0.3487042,-0.09168112,True
0.3081989,-0.3493964,0.04212636,True
0.319252,-0.3525637,0.01778162,True
0.330225,-0.3529599,0.01047766,True
0.3415279,-0.32966,-0.02617908,True
0.35252,-0.3315127,-0.03802007,True
0.3635082,-0.3390464,-0.04249996,True
0.3746948,-0.3403696,-0.05637625,True
0.3857136,-0.3570104,-0.06597164,True
0.3970737,-0.3520195,-0.06527528,True
0.4085426,-0.3664238,-0.06438223,True
0.419817,-0.3684763,-0.0647251,True
0.4310875,-0.3596026,-0.06419578,True
0.4423389,-0.3596546,-0.05771437,True
0.4534798,-0.3474194,-0.05239922,True
0.4649696,-0.3583299,-0.05047807,True
0.4762325,-0.3572968,-0.03741536,True
0.4872704,-0.3525207,-0.03526288,True
0.4987183,-0.3548631,-0.04365641,True
0.5099468,-0.3595764,-0.06143275,True
0.521183,-0.3543761,-0.0629676,True
0.5324974,-0.3520563,-0.08088523,True
0.5437603,-0.345146,-0.07368767,True
0.555294,-0.3408167,-0.07173982,True
0.5665894,-0.3451864,-0.1011072,True
0.5776081,-0.3659611,-0.1012778,True
0.5886478,-0.3705371,-0.1020047,True
0.5998363,-0.3659953,-0.1256214,True
0.6108456,-0.361231,-0.1078274,True
0.6220055,-0.3583736,-0.107342,True
0.6330643,-0.3536607,-0.09528601,True
0.6442833,-0.3528677,-0.09057704,True
0.6557274,-0.3522743,-0.08960596,True
0.6664238,-0.3376037,-0.09281445,True
0.6778183,-0.3372449,-0.09121624,True
0.6886902,-0.3363476,-0.09662896,True
0.6998882,-0.3298895,-0.09368032,True
0.7108479,-0.3113695,-0.09208235,True
0.7219925,-0.3123488,-0.09166867,True
0.7330608,-0.3072662,-0.07491994,True
0.7441559,-0.3034222,-0.08902535,True
0.7552032,-0.3016735,-0.08900654,True
0.7663536,-0.3019476,-0.09938478,True
0.7775612,-0.3019445,-0.09917289,True
0.7887535,-0.3006273,-0.0991554,True
0.799675,-0.2948067,-0.1045884,True
0.8108082,-0.2973779,-0.1013383,True
0.8218231,-0.3025113,-0.100451,True
0.8329659,-0.3036732,-0.09781617,True
0.8440781,-0.2982371,-0.09340987,True
0.8550777,-0.2981761,-0.09647816,True
0.8664055,-0.3085694,-0.088449,True
0.8775902,-0.3106625,-0.09578314,True
0.8885155,-0.3108802,-0.09568045,True
0.8997326,-0.3067872,-0.1002941,True
0.9108276,-0.3125445,-0.1030205,True
0.9217415,-0.3142234,-0.1047411,True
0.9329624,-0.3216854,-0.1034594,True
0.944067,-0.3206105,-0.09866562,True
0.955162,-0.3152091,-0.09827861,True
0.9663754,-0.2801273,-0.1153962,True
0.9773502,-0.3098486,-0.1447721,True
0.9887753,-0.2813183,-0.1495659,True
0.9996319,-0.2824301,-0.1712948,True
1.010637,-0.2952248,-0.1748931,True
1.021729,-0.2952739,-0.1808041,True
1.03331,-0.3023157,-0.154118,True
1.044046,-0.3038548,-0.1540421,True
1.055235,-0.3052432,-0.1517232,True
1.066151,-0.1328126,-0.07316177,True
1.077332,-0.07789439,-0.07447155,True
1.088461,-0.06823528,-0.07279854,True
1.099535,-0.08182722,-0.06575242,True
1.110788,-0.08701605,-0.06274737,True
1.12179,-0.08576286,-0.05879981,True
1.133083,-0.08732289,-0.06035871,True
1.144098,-0.09013438,-0.0644113,True
1.155027,-0.09023607,-0.06316525,True
1.166492,-0.08959246,-0.05049937,True
1.177237,-0.09137493,-0.06077875,True
1.188616,-0.09447825,-0.05278791,True
1.199478,-0.09301972,-0.05081354,True
1.210611,-0.09386075,-0.05631667,True
1.221617,-0.09520817,-0.05465684,True
1.232763,-0.09082592,-0.04250992,True
1.2439,-0.09116256,-0.05776744,True
1.254936,-0.09093672,-0.04697197,True
1.266216,-0.07556921,-0.04550764,True
1.277266,-0.06965113,-0.0437392,True
1.288324,-0.07048661,-0.047475,True
1.299686,-0.06697249,-0.05940486,True
1.310541,-0.05939758,-0.05939785,True
1.321589,-0.05442011,-0.06271301,True
1.332863,-0.05919719,-0.06635056,True
1.344173,-0.06219304,-0.05462652,True
1.354912,-0.06291986,-0.05504178,True
1.366184,-0.0320161,-0.05740073,True
1.37715,-0.03336418,-0.05812844,True
1.38826,-0.03492194,-0.0625902,True
1.399714,-0.02901655,-0.06953609,True
1.410515,-0.03192061,-0.07130308,True
1.421526,-0.03274924,-0.06964436,True
1.432741,-0.0416671,-0.06913419,True
1.443909,-0.02953076,-0.06196272,True
1.454918,-0.03088289,-0.06984952,True
